query_path,query_name,query_label,P@20,P@40,P@60
d:\CODE\PY\BJTU_Vision\image_retrieval\query\tsg-qwrnoi289rh.jpg,tsg-qwrnoi289rh.jpg,tsg,0.35,0.275,0.23333333333333334
d:\CODE\PY\BJTU_Vision\image_retrieval\query\tsg-xfafd54612131.jpg,tsg-xfafd54612131.jpg,tsg,0.45,0.3,0.23333333333333334
d:\CODE\PY\BJTU_Vision\image_retrieval\query\ty-1kln3l123lk1.png,ty-1kln3l123lk1.png,ty,0.1,0.1,0.1
d:\CODE\PY\BJTU_Vision\image_retrieval\query\ty-202405152208461.jpg,ty-202405152208461.jpg,ty,0.4,0.325,0.25
d:\CODE\PY\BJTU_Vision\image_retrieval\query\ty-202405152208462.jpg,ty-202405152208462.jpg,ty,0.95,0.775,0.6166666666666667
d:\CODE\PY\BJTU_Vision\image_retrieval\query\ty-202405152208463.jpg,ty-202405152208463.jpg,ty,1.0,0.9,0.6833333333333333
d:\CODE\PY\BJTU_Vision\image_retrieval\query\ty-902397dda144ad34c9ae6285dda20cf431ad859b.jpeg,ty-902397dda144ad34c9ae6285dda20cf431ad859b.jpeg,ty,0.7,0.575,0.4666666666666667
d:\CODE\PY\BJTU_Vision\image_retrieval\query\ty-asdfinsidgn2352.jpeg,ty-asdfinsidgn2352.jpeg,ty,0.2,0.1,0.08333333333333333
d:\CODE\PY\BJTU_Vision\image_retrieval\query\ty-d81htdtysrgsh.jpg,ty-d81htdtysrgsh.jpg,ty,0.1,0.05,0.06666666666666667
d:\CODE\PY\BJTU_Vision\image_retrieval\query\ty-fjdkgdf5455454.jpg,ty-fjdkgdf5455454.jpg,ty,0.7,0.4,0.2833333333333333
d:\CODE\PY\BJTU_Vision\image_retrieval\query\ty-jd9273.png,ty-jd9273.png,ty,0.05,0.075,0.06666666666666667
d:\CODE\PY\BJTU_Vision\image_retrieval\query\ty-m7n8b9v0c1x2z3l4.jpg,ty-m7n8b9v0c1x2z3l4.jpg,ty,1.0,0.8,0.6
d:\CODE\PY\BJTU_Vision\image_retrieval\query\ty-sajibfoi234252.jpeg,ty-sajibfoi234252.jpeg,ty,0.2,0.1,0.08333333333333333
d:\CODE\PY\BJTU_Vision\image_retrieval\query\ty-uiwoic01937892.jpg,ty-uiwoic01937892.jpg,ty,0.5,0.375,0.2833333333333333
d:\CODE\PY\BJTU_Vision\image_retrieval\query\ty-xxww2.png,ty-xxww2.png,ty,1.0,0.975,0.85
d:\CODE\PY\BJTU_Vision\image_retrieval\query\ty-yi9ouv6780bjntghdfkmcer.jpg,ty-yi9ouv6780bjntghdfkmcer.jpg,ty,0.95,0.95,0.8166666666666667
d:\CODE\PY\BJTU_Vision\image_retrieval\query\yf-d6h1hgjdhwujd.jpg,yf-d6h1hgjdhwujd.jpg,yf,0.0,0.0,0.03333333333333333
d:\CODE\PY\BJTU_Vision\image_retrieval\query\yf-dy789j1hdhsyghdjai.jpg,yf-dy789j1hdhsyghdjai.jpg,yf,0.1,0.05,0.03333333333333333
d:\CODE\PY\BJTU_Vision\image_retrieval\query\yf-fnsjdk342324.jpg,yf-fnsjdk342324.jpg,yf,0.25,0.15,0.15
d:\CODE\PY\BJTU_Vision\image_retrieval\query\yf-gaduaygwjdnad.jpg,yf-gaduaygwjdnad.jpg,yf,0.05,0.075,0.06666666666666667
d:\CODE\PY\BJTU_Vision\image_retrieval\query\yf-kawubc78920192.jpg,yf-kawubc78920192.jpg,yf,0.0,0.0,0.0
d:\CODE\PY\BJTU_Vision\image_retrieval\query\yf-nvdvzuta56714.jpg,yf-nvdvzuta56714.jpg,yf,0.0,0.0,0.03333333333333333
d:\CODE\PY\BJTU_Vision\image_retrieval\query\yf-uiuqbn98742104.jpg,yf-uiuqbn98742104.jpg,yf,0.3,0.2,0.16666666666666666
d:\CODE\PY\BJTU_Vision\image_retrieval\query\yk-95ccd6cd9aa831373d98ed85e8b4b963.jpg,yk-95ccd6cd9aa831373d98ed85e8b4b963.jpg,yk,0.05,0.05,0.03333333333333333
d:\CODE\PY\BJTU_Vision\image_retrieval\query\yk-dwtutq13843780.jpg,yk-dwtutq13843780.jpg,yk,0.25,0.15,0.11666666666666667
d:\CODE\PY\BJTU_Vision\image_retrieval\query\zx-153521.png,zx-153521.png,zx,0.7,0.45,0.38333333333333336
d:\CODE\PY\BJTU_Vision\image_retrieval\query\zx-202405152208482.jpg,zx-202405152208482.jpg,zx,0.65,0.6,0.48333333333333334
d:\CODE\PY\BJTU_Vision\image_retrieval\query\zx-202505071932591.jpg,zx-202505071932591.jpg,zx,0.5,0.45,0.48333333333333334
d:\CODE\PY\BJTU_Vision\image_retrieval\query\zx-20260511181548_156_105(1).jpg,zx-20260511181548_156_105(1).jpg,zx,0.2,0.225,0.21666666666666667
d:\CODE\PY\BJTU_Vision\image_retrieval\query\zx-2h3r4.jpg,zx-2h3r4.jpg,zx,0.15,0.175,0.18333333333333332
d:\CODE\PY\BJTU_Vision\image_retrieval\query\zx-308r0208w0rf0f.jpg,zx-308r0208w0rf0f.jpg,zx,0.45,0.325,0.35
d:\CODE\PY\BJTU_Vision\image_retrieval\query\zx-cpyjkt5441hmlp.jpg,zx-cpyjkt5441hmlp.jpg,zx,0.7,0.475,0.3333333333333333
d:\CODE\PY\BJTU_Vision\image_retrieval\query\zx-ec0f6e51cc0bb55a3595746e86f459c.jpg,zx-ec0f6e51cc0bb55a3595746e86f459c.jpg,zx,0.1,0.25,0.23333333333333334
d:\CODE\PY\BJTU_Vision\image_retrieval\query\zx-eusovs21094847.jpg,zx-eusovs21094847.jpg,zx,0.25,0.25,0.3333333333333333
d:\CODE\PY\BJTU_Vision\image_retrieval\query\zx-hzihaxa453.jpg,zx-hzihaxa453.jpg,zx,0.7,0.4,0.36666666666666664
d:\CODE\PY\BJTU_Vision\image_retrieval\query\zx-kufbw93vr9yvbeya.jpg,zx-kufbw93vr9yvbeya.jpg,zx,0.1,0.1,0.08333333333333333
d:\CODE\PY\BJTU_Vision\image_retrieval\query\zx-qwarewt1145141919.jpg,zx-qwarewt1145141919.jpg,zx,0.1,0.05,0.03333333333333333
d:\CODE\PY\BJTU_Vision\image_retrieval\query\zx-sdlbp51278.jpg,zx-sdlbp51278.jpg,zx,0.3,0.3,0.26666666666666666
d:\CODE\PY\BJTU_Vision\image_retrieval\query\zx-xgfafd54612121.jpg,zx-xgfafd54612121.jpg,zx,0.15,0.1,0.08333333333333333
